ID,Name,Glottocode
Injinoo,Injinoo,atam1239
Iyora,Iyora,sydn1236
Jaru,Jaru,jaru1254
Jiwarli,Jiwarli,djiw1241
Jiwarliny,Jiwarliny,djuw1238
Kalkatungu,Kalkatungu,kalk1246
Karajarri,Karajarri,kara1476
Kariyarra,Kariyarra,kari1304
Karree,Karree,
Kartujarra,Kartujarra,kart1247
Katthang,Katthang,gath1234
Kaurna,Kaurna,kaur1267
Kaytetye,Kaytetye,kayt1238
Keerraywoorroong,Keerraywoorroong,
KokoBera,KokoBera,gugu1254
KuguNganhcara,KuguNganhcara,wikn1246
Kukatj,Kukatj,guga1239
Kukatja,Kukatja,kuka1246
Kungadutyi,Kungadutyi,pirr1240
Kungkari,Kungkari,kuun1236
Kunjen,Kunjen sc. Ogunyjan,kunj1245
Kurnu,Kurnu,kula1275
Kurrama,Kurrama,kurr1243
Kurtjar,Kurtjar,gurd1238
KuukThaayorre,KuukThaayorre,thay1249
KuukuYau,KuukuYau,kuuk1238
Linngithigh,Linngithigh,leni1238
Mabuiag,Mabuiag,kala1377
Malgana,Malgana,malg1242
Malngin,Malngin,maln1239
Malyangapa,Malyangapa,maly1234
Mangala,Mangala,mang1383
Margany,Margany,marg1253
MartuWangka,MartuWangka,mart1256
MaryRiverandBunyaBunyaCountry,MaryRiverandBunyaBunyaCountry,
MathiMathi,MathiMathi,madh1244
MayiKulan,MayiKulan,mayi1236
MayiKutuna,MayiKutuna,maya1280
MayiThakurti,MayiThakurti,mayi1234
MayiYapi,MayiYapi,mayi1235
Mbabaram,Mbabaram,mbab1239
Mbakwithi,Mbakwithi,angu1242
Minjungbal,Minjungbal,minj1242
Mirniny,Mirniny,kala1379
Mithaka,Mithaka,mith1236
Mudburra,Mudburra,mudb1240
Muruwari,Muruwari,muru1266
Narungga,Narungga,naru1238
Ngaanyatjarra,Ngaanyatjarra,ngaa1240
Ngadjumaya,Ngadjumaya,ngad1258
Ngadjuri,Ngadjuri,ngad1257
Ngaiawang,Ngaiawang,lowe1402
Ngamini,Ngamini,ngam1284
Ngarigu,Ngarigu,ngar1297
Ngarinyman,Ngarinyman,ngar1235
Ngarla,Ngarla,ngar1296
Ngarluma,Ngarluma,ngar1287
Ngarrindjeri,Ngarrindjeri,narr1259
Ngawun,Ngawun,ngaw1240
NggoiMwoi,NggoiMwoi,
Ngiyambaa,Ngiyambaa,wang1291
Ngunawal,Ngunawal,ngun1277
Nhanta,Nhanta,nhan1238
Nhirrpi,Nhirrpi,nhir1234
Ntrangith,Ntra’ngith,
Nyamal,Nyamal,nyam1271
Nyangumarta,Nyangumarta,nyan1301
Nyungar,Nyungar,nyun1247
Paakantyi,Paakantyi,darl1243
Pakanh,Pakanh,paka1251
Panyjima,Panyjima,pany1241
Parnkala,Parnkala,bang1339
Payungu,Payungu,bayu1240
Pintupi-Luritja,Pintupi-Luritja,pint1250
Pitjantjatjara,Pitjantjatjara,pitj1243
PittaPitta,PittaPitta,pitt1247
Punthamara,Punthamara,punt1240
Purduna,Purduna,burd1238
Rirratjingu,Rirratjingu,rirr1238
Ritharrngu,Ritharrngu,rita1239
Thalanyji,Thalanyji,dhal1245
Thanggati,Thanggati,dyan1250
Tharrgari,Tharrgari,dhar1247
Thaynakwith,Thaynakwith,tyan1236
Umpila,Umpila,umpi1239
Uradhi,Uradhi,urad1238
Wailwan,Wailwan,wayi1238
Wajarri,Wajarri,waja1257
WakaWaka,WakaWaka,waka1274
Wakaya,Wakaya,waga1260
Walmajarri,Walmajarri,walm1241
Wangkatja,Wangkatja,pint1251
Wangkayutyuru,Wangkayutyuru,wang1289
Wangkumara,Wangkumara,wong1246
Wardandi,Wardandi,ward1248
Warrgamay,Warrgamay,warr1255
Warlmanpa,Warlmanpa,warl1255
Warlpiri,Warlpiri,warl1254
Warluwarra,Warluwarra,warl1256
Warnman,Warnman,wanm1242
Warriyangga,Warriyangga,wari1262
Warrnambool,Warrnambool,warr1257
Warumungu,Warumungu,waru1265
Warungu,Warungu,waru1264
Wathawurrung,Wathawurrung,wath1238
WathiWathi,WathiWathi,wadi1249
Watjuk,Watjuk,waju1234
WembaWemba,WembaWemba,wemb1241
WesternArrarnte,WesternArrarnte,west2441
WikMungkan,WikMungkan,wikm1247
WikNgatharr,WikNgatharr,wika1238
Wiradjuri,Wiradjuri,wira1262
Wirangu,Wirangu,wira1265
Woiwurrung,Woiwurrung,woiw1238
Wulguru,Wulguru,wulg1239
Yagara,Yagara,yaga1262
Yalarnnga,Yalarnnga,yala1262
Yandruwandha,Yandruwandha,yand1253
Yannhangu,Yannhangu,yann1237
Yanyuwa,Yanyuwa,yany1243
Yarluyandi,Yarluyandi,yarl1238
Yawarrawarrka,Yawarrawarrka,yawa1258
Yidiny,Yidiny,yidi1250
Yindjibarndi,Yindjibarndi,yind1247
Yindjilandji,Yindjilandji,yind1248
Yingkarta,Yingkarta,ying1247
Yinhawangka,Yinhawangka,yinh1234
Yirandali,Yirandali,yira1239
YirYoront,YirYoront,yiry1245
YortaYorta,YortaYorta,yort1237
Yugambeh,Yugambeh,yuga1244
Yugarabul,Yugarabul,yaga1256
Yulparija,Yulparija,yulp1238
Yuwaalaraay,Yuwaalaraay,yuwa1242
